Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,7;1,0;1,0;1,0;1,0;1,0
Araba;Cuartil_1;1,0;1,0;1,0;1,0;1,1;1,8;3,6;3,4;2,4;1,7;1,0;1,0;1,0
Araba;Mediana;1,0;1,0;1,0;1,0;2,0;2,7;4,4;4,7;4,5;3,3;1,0;1,0;1,3
Araba;Media;1,1;1,0;1,1;1,3;2,2;2,9;4,0;4,1;3,7;3,1;1,4;1,1;2,3
Araba;Cuartil_3;1,0;1,0;1,1;1,1;3,1;4,1;4,9;4,8;4,9;4,3;1,2;1,1;3,6
Araba;Maximo;1,7;1,2;2,2;3,1;4,6;5,0;5,0;5,0;5,0;4,9;3,2;1,8;5,0
Albacete;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,7;1,5;1,0;1,0;1,0;1,0;1,0
Albacete;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,3;3,4;3,2;1,0;1,0;1,0;1,0;1,0
Albacete;Mediana;1,0;1,0;1,0;1,0;1,1;3,2;4,1;3,9;1,6;1,3;1,2;1,0;1,0
Albacete;Media;1,1;1,2;1,0;1,0;1,8;3,3;3,9;3,7;2,2;1,4;1,4;1,0;1,9
Albacete;Cuartil_3;1,0;1,3;1,0;1,0;2,5;4,5;4,6;4,4;3,3;1,6;1,5;1,0;2,9
Albacete;Maximo;2,4;2,8;1,3;1,0;4,0;5,0;5,0;5,0;4,9;3,2;2,7;1,2;5,0
Alicante;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,4;1,5;1,0;1,0;1,0;1,0;1,0
Alicante;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,1;2,3;2,7;1,0;1,0;1,2;1,0;1,0
Alicante;Mediana;1,0;1,1;1,0;1,0;1,0;3,1;3,7;4,1;1,4;1,0;1,6;1,0;1,1
Alicante;Media;1,3;1,5;1,0;1,0;1,5;3,0;3,4;3,7;2,1;1,1;1,8;1,1;1,9
Alicante;Cuartil_3;1,3;2,0;1,0;1,0;2,1;3,8;4,5;4,6;3,3;1,1;2,1;1,0;2,5
Alicante;Maximo;3,9;3,0;1,1;1,0;3,3;4,7;4,8;5,0;4,5;1,8;4,1;2,3;5,0
Almeria;Minimo;1,0;1,0;1,0;1,0;1,0;2,2;1,5;1,1;1,0;1,0;1,0;1,0;1,0
Almeria;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,8;2,7;3,1;1,3;1,1;1,2;1,0;1,0
Almeria;Mediana;1,1;1,3;1,0;1,0;1,0;3,4;3,2;3,8;2,0;1,7;1,4;1,0;1,3
Almeria;Media;1,1;1,3;1,0;1,0;1,4;3,5;3,4;3,7;2,1;1,8;1,6;1,1;1,9
Almeria;Cuartil_3;1,1;1,4;1,0;1,0;1,7;4,3;4,2;4,2;2,8;2,2;2,0;1,1;2,6
Almeria;Maximo;1,6;2,0;1,0;1,1;2,9;4,9;4,9;5,0;3,6;3,5;2,5;1,5;5,0
Avila;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,8;1,1;1,0;1,0;1,0;1,0;1,0
Avila;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,2;3,4;2,2;1,0;1,0;1,0;1,0;1,0
Avila;Mediana;1,0;1,0;1,0;1,0;1,0;1,6;3,8;3,7;1,0;1,0;1,0;1,0;1,0
Avila;Media;1,0;1,1;1,0;1,0;1,1;2,1;3,8;3,4;1,5;1,0;1,0;1,0;1,6
Avila;Cuartil_3;1,0;1,0;1,0;1,0;1,1;2,9;4,7;4,4;1,9;1,0;1,0;1,0;1,4
Avila;Maximo;1,2;1,4;1,0;1,1;1,8;4,4;5,0;4,8;3,5;1,4;1,0;1,0;5,0
Badajoz;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,4;1,2;1,0;1,0;1,0;1,0;1,0
Badajoz;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,5;3,5;2,2;1,0;1,0;1,0;1,0;1,0
Badajoz;Mediana;1,0;1,0;1,0;1,0;1,2;2,5;4,0;3,6;1,1;1,0;1,0;1,0;1,0
Badajoz;Media;1,0;1,0;1,0;1,0;1,8;2,8;4,1;3,2;1,4;1,3;1,0;1,0;1,7
Badajoz;Cuartil_3;1,0;1,0;1,0;1,0;2,2;4,0;4,9;4,0;1,6;1,4;1,0;1,0;1,9
Badajoz;Maximo;1,0;2,0;1,0;1,1;4,1;4,9;5,0;5,0;3,3;2,5;1,0;1,0;5,0
Illes Balears;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,8;1,0;1,0;1,0;1,0;1,0;1,0
Illes Balears;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,2;3,1;1,8;1,2;1,0;1,0;1,0;1,0
Illes Balears;Mediana;1,0;1,0;1,0;1,0;1,1;1,5;3,3;3,1;1,4;1,0;1,0;1,0;1,0
Illes Balears;Media;1,0;1,1;1,0;1,0;1,3;1,9;3,3;2,9;1,5;1,0;1,2;1,0;1,5
Illes Balears;Cuartil_3;1,0;1,2;1,0;1,0;1,3;2,0;3,7;3,9;1,7;1,0;1,2;1,0;1,6
Illes Balears;Maximo;1,5;1,7;1,3;1,1;2,8;4,4;4,5;4,7;3,0;1,1;2,6;1,0;4,7
Barcelona;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,5;1,0;1,0;1,0;1,0;1,0;1,0
Barcelona;Cuartil_1;1,2;1,4;1,0;1,0;1,2;2,9;3,5;1,8;1,2;1,1;1,1;1,0;1,1
Barcelona;Mediana;1,3;1,8;1,0;1,2;2,5;3,6;4,7;3,4;1,6;1,4;1,4;1,0;1,5
Barcelona;Media;1,5;1,8;1,1;1,5;2,7;3,5;4,1;3,3;1,7;1,5;1,8;1,1;2,1
Barcelona;Cuartil_3;1,6;2,3;1,1;1,8;3,9;4,4;4,8;4,7;2,2;1,8;2,2;1,1;2,8
Barcelona;Maximo;2,7;3,1;1,8;3,6;5,0;4,9;5,0;5,0;2,5;2,4;3,6;1,3;5,0
Burgos;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,9;1,5;1,0;1,0;1,0;1,0;1,0
Burgos;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,8;3,7;3,4;2,1;1,9;1,0;1,0;1,0
Burgos;Mediana;1,0;1,0;1,0;1,0;1,2;2,6;4,2;4,2;3,4;2,2;1,0;1,0;1,2
Burgos;Media;1,1;1,1;1,0;1,2;1,6;2,7;4,1;3,9;3,2;2,4;1,2;1,0;2,0
Burgos;Cuartil_3;1,1;1,1;1,0;1,0;2,2;3,6;4,7;4,5;4,2;3,0;1,2;1,0;3,0
Burgos;Maximo;1,4;1,6;1,5;2,3;4,0;5,0;5,0;5,0;5,0;4,8;2,2;1,2;5,0
Caceres;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;2,3;1,9;1,0;1,0;1,0;1,0;1,0
Caceres;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,1;3,5;3,0;1,0;1,0;1,0;1,0;1,0
Caceres;Mediana;1,0;1,0;1,0;1,0;1,0;2,0;3,9;3,8;1,0;1,0;1,0;1,0;1,0
Caceres;Media;1,0;1,0;1,0;1,0;1,4;2,4;4,1;3,6;1,4;1,1;1,0;1,0;1,7
Caceres;Cuartil_3;1,0;1,0;1,0;1,0;1,6;3,8;4,9;4,2;1,7;1,1;1,0;1,0;1,9
Caceres;Maximo;1,0;1,3;1,0;1,0;3,0;4,7;5,0;5,0;3,1;1,7;1,0;1,0;5,0
Cadiz;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0
Cadiz;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,5;2,3;2,0;1,1;1,1;1,0;1,0;1,0
Cadiz;Mediana;1,0;1,0;1,0;1,0;1,1;2,3;3,7;2,5;1,9;1,7;1,0;1,0;1,0
Cadiz;Media;1,0;1,1;1,0;1,0;1,5;2,6;3,4;2,6;2,0;2,0;1,1;1,0;1,7
Cadiz;Cuartil_3;1,0;1,0;1,0;1,0;1,5;3,3;4,7;3,4;2,6;2,6;1,1;1,0;2,2
Cadiz;Maximo;1,3;2,2;1,0;1,0;3,7;4,9;4,9;4,6;4,1;4,3;1,7;1,0;4,9
Castellon;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Castellon;Cuartil_1;1,0;1,3;1,0;1,0;1,0;1,2;1,8;2,5;1,0;1,0;1,0;1,0;1,0
Castellon;Mediana;1,0;2,1;1,0;1,0;1,0;2,0;2,6;3,5;1,5;1,1;1,0;1,0;1,1
Castellon;Media;1,3;2,0;1,0;1,0;1,1;2,1;2,5;3,2;1,8;1,2;1,2;1,0;1,6
Castellon;Cuartil_3;1,2;2,6;1,0;1,0;1,1;3,1;3,2;4,1;2,4;1,3;1,1;1,0;2,1
Castellon;Maximo;3,5;3,4;1,2;1,2;2,4;4,2;3,9;4,7;3,7;1,6;3,3;1,1;4,7
Ciudad Real;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;2,5;1,3;1,0;1,0;1,0;1,0;1,0
Ciudad Real;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,2;3,6;2,7;1,0;1,0;1,0;1,0;1,0
Ciudad Real;Mediana;1,0;1,0;1,0;1,0;1,1;3,3;4,3;3,5;1,3;1,1;1,0;1,0;1,0
Ciudad Real;Media;1,0;1,0;1,0;1,0;1,9;3,3;4,2;3,2;1,9;1,4;1,0;1,0;1,8
Ciudad Real;Cuartil_3;1,0;1,0;1,0;1,0;2,8;4,4;4,9;4,1;2,4;1,5;1,0;1,0;2,5
Ciudad Real;Maximo;1,0;1,3;1,0;1,0;4,7;5,0;5,0;4,7;4,4;3,8;1,4;1,0;5,0
Cordoba;Minimo;1,0;1,0;1,0;1,0;1,0;1,2;1,6;1,7;1,0;1,0;1,0;1,0;1,0
Cordoba;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,5;3,5;2,9;1,0;1,0;1,0;1,0;1,0
Cordoba;Mediana;1,0;1,0;1,0;1,0;1,2;3,0;4,4;3,2;1,3;1,2;1,0;1,0;1,0
Cordoba;Media;1,0;1,0;1,0;1,0;1,7;3,3;4,2;3,4;1,7;1,5;1,0;1,0;1,8
Cordoba;Cuartil_3;1,0;1,0;1,0;1,0;2,2;4,6;5,0;4,0;2,5;1,8;1,1;1,0;2,5
Cordoba;Maximo;1,0;1,7;1,0;1,0;4,1;4,9;5,0;4,7;3,9;3,7;1,3;1,0;5,0
A Coruña;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
A Coruña;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,0;2,5;2,4;1,0;1,0;1,0;1,0;1,0
A Coruña;Mediana;1,0;1,0;1,0;1,0;1,4;1,0;3,1;3,2;1,0;1,0;1,0;1,0;1,0
A Coruña;Media;1,2;1,2;1,0;1,2;1,6;1,1;3,0;3,1;1,4;1,0;1,0;1,0;1,5
A Coruña;Cuartil_3;1,2;1,3;1,1;1,1;2,1;1,0;3,6;4,1;1,7;1,0;1,0;1,0;1,6
A Coruña;Maximo;2,3;2,5;1,2;2,6;2,9;2,4;4,3;4,6;2,5;1,2;1,6;1,2;4,6
Cuenca;Minimo;1,0;1,0;1,0;1,0;1,0;1,3;1,3;1,2;1,0;1,0;1,0;1,0;1,0
Cuenca;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,8;3,6;3,2;1,0;1,0;1,0;1,0;1,0
Cuenca;Mediana;1,0;1,1;1,0;1,0;1,1;3,8;4,1;3,8;1,1;1,1;1,0;1,0;1,0
Cuenca;Media;1,0;1,2;1,0;1,0;1,9;3,7;4,0;3,6;2,1;1,2;1,1;1,0;1,9
Cuenca;Cuartil_3;1,0;1,2;1,0;1,0;2,6;4,7;4,8;4,2;3,7;1,3;1,0;1,0;2,7
Cuenca;Maximo;1,9;2,4;1,0;1,3;4,2;5,0;5,0;5,0;4,9;2,0;2,1;1,0;5,0
Girona;Minimo;1,0;1,0;1,0;1,0;1,0;1,8;2,5;1,4;1,0;1,0;1,0;1,0;1,0
Girona;Cuartil_1;1,3;1,3;1,0;1,0;1,3;3,1;4,2;3,2;1,4;1,0;1,1;1,0;1,1
Girona;Mediana;1,7;2,1;1,0;1,1;2,5;3,7;4,5;3,8;2,7;1,7;1,4;1,1;1,9
Girona;Media;1,6;1,9;1,2;1,4;2,4;3,7;4,3;3,6;2,6;1,7;1,7;1,2;2,3
Girona;Cuartil_3;1,9;2,4;1,2;1,7;3,1;4,4;4,8;4,2;3,5;2,3;2,1;1,3;3,3
