Provincia,Niveles,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Araba,Bajo,"74,19","39,29","22,58",50,"45,16",30,"16,13","16,13","23,33","41,94",90,"70,97","43,29",2019
Araba,Moderado,"25,81",25,"25,81","43,33","35,48",20,"29,03","19,35","46,67","41,94",10,"25,81","29,04",2019
Araba,Alto,0,"35,71","48,39","6,67","16,13","26,67","29,03","35,48","26,67","12,9",0,"3,23",20,2019
Araba,Muy_Alto,0,0,"3,23",0,"3,23",10,"19,35","25,81","3,33","3,23",0,0,"5,75",2019
Araba,Extremo,0,0,0,0,0,"13,33","6,45","3,23",0,0,0,0,"1,92",2019
Albacete,Bajo,"12,9",0,"6,45",70,"45,16","3,33","3,23","9,68",60,"41,94","66,67","93,55","34,52",2019
Albacete,Moderado,"83,87","82,14","35,48","23,33","48,39","16,67","9,68","22,58","36,67","32,26","33,33","6,45","35,62",2019
Albacete,Alto,"3,23","17,86","54,84","6,67","6,45","63,33","35,48","32,26","3,33","25,81",0,0,"20,82",2019
Albacete,Muy_Alto,0,0,"3,23",0,0,10,"38,71","22,58",0,0,0,0,"6,3",2019
Albacete,Extremo,0,0,0,0,0,"6,67","12,9","12,9",0,0,0,0,"2,74",2019
Alicante,Bajo,"22,58","3,57","9,68",80,"51,61",10,"3,23","9,68",70,"48,39",30,"77,42","34,79",2019
Alicante,Moderado,"64,52",75,"32,26",20,"45,16",40,"9,68","16,13","26,67","35,48",60,"22,58","36,99",2019
Alicante,Alto,"12,9","17,86","54,84",0,0,"36,67","16,13","35,48","3,33","16,13",10,0,"16,99",2019
Alicante,Muy_Alto,0,"3,57","3,23",0,"3,23","13,33","54,84","29,03",0,0,0,0,"9,04",2019
Alicante,Extremo,0,0,0,0,0,0,"16,13","9,68",0,0,0,0,"2,19",2019
Almeria,Bajo,"32,26","14,29","12,9","73,33","29,03",0,"3,23","6,45",60,"35,48","23,33","70,97","30,14",2019
Almeria,Moderado,"67,74","85,71","61,29","23,33","54,84","3,33","3,23","19,35",40,"38,71","63,33","29,03","40,55",2019
Almeria,Alto,0,0,"25,81","3,33","16,13",60,"19,35","16,13",0,"25,81","13,33",0,"15,07",2019
Almeria,Muy_Alto,0,0,0,0,0,"36,67","54,84","48,39",0,0,0,0,"11,78",2019
Almeria,Extremo,0,0,0,0,0,0,"19,35","9,68",0,0,0,0,"2,47",2019
Avila,Bajo,"38,71",25,"12,9","76,67","9,68","6,67","3,23","3,23","26,67","54,84","96,67","83,87","36,44",2019
Avila,Moderado,"61,29","57,14","38,71",20,"51,61",30,"16,13","22,58",30,"19,35","3,33","16,13","30,41",2019
Avila,Alto,0,"17,86","48,39","3,33","38,71","36,67","45,16","32,26","33,33","25,81",0,0,"23,56",2019
Avila,Muy_Alto,0,0,0,0,0,20,"35,48","32,26","6,67",0,0,0,"7,95",2019
Avila,Extremo,0,0,0,0,0,"6,67",0,"9,68","3,33",0,0,0,"1,64",2019
Badajoz,Bajo,"61,29","57,14","19,35","66,67","6,45",0,"3,23",0,"13,33","45,16","96,67",100,"38,9",2019
Badajoz,Moderado,"38,71","42,86","51,61","33,33","51,61","23,33","22,58","9,68","26,67","25,81","3,33",0,"27,4",2019
Badajoz,Alto,0,0,"29,03",0,"29,03","56,67","41,94","19,35",20,"22,58",0,0,"18,36",2019
Badajoz,Muy_Alto,0,0,0,0,"9,68",20,"32,26","58,06","23,33","6,45",0,0,"12,6",2019
Badajoz,Extremo,0,0,0,0,"3,23",0,0,"12,9","16,67",0,0,0,"2,74",2019
Illes Balears,Bajo,"54,84","46,43","12,9","56,67","32,26","3,33","3,23","6,45","43,33","41,94",80,"70,97","37,53",2019
Illes Balears,Moderado,"41,94","53,57","70,97",40,"64,52",20,"19,35","12,9","46,67","58,06",20,"29,03","39,73",2019
Illes Balears,Alto,"3,23",0,"16,13","3,33","3,23","56,67","32,26","35,48",10,0,0,0,"13,42",2019
Illes Balears,Muy_Alto,0,0,0,0,0,"16,67","41,94","41,94",0,0,0,0,"8,49",2019
Illes Balears,Extremo,0,0,0,0,0,"3,33","3,23","3,23",0,0,0,0,"0,82",2019
Barcelona,Bajo,"22,58","14,29",0,"66,67","58,06",20,"9,68",0,"23,33","38,71","53,33","83,87","32,6",2019
Barcelona,Moderado,"54,84","39,29","19,35","13,33","29,03",20,"19,35","12,9","36,67","16,13","43,33","16,13","26,58",2019
Barcelona,Alto,"22,58","46,43","51,61",10,"12,9","26,67","12,9","16,13",40,"45,16","3,33",0,"23,84",2019
Barcelona,Muy_Alto,0,0,"29,03",10,0,"23,33","25,81","45,16",0,0,0,0,"11,23",2019
Barcelona,Extremo,0,0,0,0,0,10,"32,26","25,81",0,0,0,0,"5,75",2019
Burgos,Bajo,"32,26","32,14","9,68",60,"29,03","26,67","16,13","6,45","26,67","45,16",100,"80,65","38,63",2019
Burgos,Moderado,"64,52","35,71","32,26","33,33","38,71","26,67","32,26","25,81","26,67","25,81",0,"19,35","30,14",2019
Burgos,Alto,"3,23","32,14","48,39","6,67","32,26","13,33","32,26","32,26","33,33","19,35",0,0,"21,1",2019
