Provincia;Niveles;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Bajo;74,19;39,29;22,58;50;45,16;30;16,13;16,13;23,33;41,94;90;70,97;43,29
Araba;Moderado;25,81;25;25,81;43,33;35,48;20;29,03;19,35;46,67;41,94;10;25,81;29,04
Araba;Alto;0;35,71;48,39;6,67;16,13;26,67;29,03;35,48;26,67;12,9;0;3,23;20
Araba;Muy_Alto;0;0;3,23;0;3,23;10;19,35;25,81;3,33;3,23;0;0;5,75
Araba;Extremo;0;0;0;0;0;13,33;6,45;3,23;0;0;0;0;1,92
Albacete;Bajo;12,9;0;6,45;70;45,16;3,33;3,23;9,68;60;41,94;66,67;93,55;34,52
Albacete;Moderado;83,87;82,14;35,48;23,33;48,39;16,67;9,68;22,58;36,67;32,26;33,33;6,45;35,62
Albacete;Alto;3,23;17,86;54,84;6,67;6,45;63,33;35,48;32,26;3,33;25,81;0;0;20,82
Albacete;Muy_Alto;0;0;3,23;0;0;10;38,71;22,58;0;0;0;0;6,3
Albacete;Extremo;0;0;0;0;0;6,67;12,9;12,9;0;0;0;0;2,74
Alicante;Bajo;22,58;3,57;9,68;80;51,61;10;3,23;9,68;70;48,39;30;77,42;34,79
Alicante;Moderado;64,52;75;32,26;20;45,16;40;9,68;16,13;26,67;35,48;60;22,58;36,99
Alicante;Alto;12,9;17,86;54,84;0;0;36,67;16,13;35,48;3,33;16,13;10;0;16,99
Alicante;Muy_Alto;0;3,57;3,23;0;3,23;13,33;54,84;29,03;0;0;0;0;9,04
Alicante;Extremo;0;0;0;0;0;0;16,13;9,68;0;0;0;0;2,19
Almeria;Bajo;32,26;14,29;12,9;73,33;29,03;0;3,23;6,45;60;35,48;23,33;70,97;30,14
Almeria;Moderado;67,74;85,71;61,29;23,33;54,84;3,33;3,23;19,35;40;38,71;63,33;29,03;40,55
Almeria;Alto;0;0;25,81;3,33;16,13;60;19,35;16,13;0;25,81;13,33;0;15,07
Almeria;Muy_Alto;0;0;0;0;0;36,67;54,84;48,39;0;0;0;0;11,78
Almeria;Extremo;0;0;0;0;0;0;19,35;9,68;0;0;0;0;2,47
Avila;Bajo;38,71;25;12,9;76,67;9,68;6,67;3,23;3,23;26,67;54,84;96,67;83,87;36,44
Avila;Moderado;61,29;57,14;38,71;20;51,61;30;16,13;22,58;30;19,35;3,33;16,13;30,41
Avila;Alto;0;17,86;48,39;3,33;38,71;36,67;45,16;32,26;33,33;25,81;0;0;23,56
Avila;Muy_Alto;0;0;0;0;0;20;35,48;32,26;6,67;0;0;0;7,95
Avila;Extremo;0;0;0;0;0;6,67;0;9,68;3,33;0;0;0;1,64
Badajoz;Bajo;61,29;57,14;19,35;66,67;6,45;0;3,23;0;13,33;45,16;96,67;100;38,9
Badajoz;Moderado;38,71;42,86;51,61;33,33;51,61;23,33;22,58;9,68;26,67;25,81;3,33;0;27,4
Badajoz;Alto;0;0;29,03;0;29,03;56,67;41,94;19,35;20;22,58;0;0;18,36
Badajoz;Muy_Alto;0;0;0;0;9,68;20;32,26;58,06;23,33;6,45;0;0;12,6
Badajoz;Extremo;0;0;0;0;3,23;0;0;12,9;16,67;0;0;0;2,74
Illes Balears;Bajo;54,84;46,43;12,9;56,67;32,26;3,33;3,23;6,45;43,33;41,94;80;70,97;37,53
Illes Balears;Moderado;41,94;53,57;70,97;40;64,52;20;19,35;12,9;46,67;58,06;20;29,03;39,73
Illes Balears;Alto;3,23;0;16,13;3,33;3,23;56,67;32,26;35,48;10;0;0;0;13,42
Illes Balears;Muy_Alto;0;0;0;0;0;16,67;41,94;41,94;0;0;0;0;8,49
Illes Balears;Extremo;0;0;0;0;0;3,33;3,23;3,23;0;0;0;0;0,82
Barcelona;Bajo;22,58;14,29;0;66,67;58,06;20;9,68;0;23,33;38,71;53,33;83,87;32,6
Barcelona;Moderado;54,84;39,29;19,35;13,33;29,03;20;19,35;12,9;36,67;16,13;43,33;16,13;26,58
Barcelona;Alto;22,58;46,43;51,61;10;12,9;26,67;12,9;16,13;40;45,16;3,33;0;23,84
Barcelona;Muy_Alto;0;0;29,03;10;0;23,33;25,81;45,16;0;0;0;0;11,23
Barcelona;Extremo;0;0;0;0;0;10;32,26;25,81;0;0;0;0;5,75
Burgos;Bajo;32,26;32,14;9,68;60;29,03;26,67;16,13;6,45;26,67;45,16;100;80,65;38,63
Burgos;Moderado;64,52;35,71;32,26;33,33;38,71;26,67;32,26;25,81;26,67;25,81;0;19,35;30,14
Burgos;Alto;3,23;32,14;48,39;6,67;32,26;13,33;32,26;32,26;33,33;19,35;0;0;21,1
Burgos;Muy_Alto;0;0;9,68;0;0;16,67;16,13;29,03;13,33;9,68;0;0;7,95
Burgos;Extremo;0;0;0;0;0;16,67;3,23;6,45;0;0;0;0;2,19
Caceres;Bajo;67,74;57,14;19,35;66,67;12,9;10;3,23;6,45;13,33;58,06;100;100;42,74
Caceres;Moderado;32,26;42,86;54,84;33,33;51,61;30;22,58;16,13;43,33;22,58;0;0;29,04
Caceres;Alto;0;0;25,81;0;29,03;53,33;67,74;38,71;10;19,35;0;0;20,55
Caceres;Muy_Alto;0;0;0;0;6,45;6,67;6,45;38,71;16,67;0;0;0;6,3
Caceres;Extremo;0;0;0;0;0;0;0;0;16,67;0;0;0;1,37
Cadiz;Bajo;74,19;57,14;29,03;66,67;16,13;0;0;3,23;20;41,94;100;87,1;41,1
Cadiz;Moderado;25,81;42,86;61,29;33,33;67,74;33,33;16,13;3,23;46,67;45,16;0;12,9;32,33
Cadiz;Alto;0;0;9,68;0;6,45;63,33;64,52;67,74;20;9,68;0;0;20,27
Cadiz;Muy_Alto;0;0;0;0;9,68;3,33;19,35;25,81;13,33;3,23;0;0;6,3
Cadiz;Extremo;0;0;0;0;0;0;0;0;0;0;0;0;0
Castellon;Bajo;12,9;0;9,68;66,67;41,94;13,33;9,68;16,13;43,33;41,94;16,67;58,06;27,67
Castellon;Moderado;58,06;64,29;19,35;30;54,84;20;22,58;6,45;43,33;19,35;63,33;38,71;36,44
Castellon;Alto;25,81;32,14;54,84;3,33;3,23;53,33;32,26;25,81;13,33;32,26;16,67;3,23;24,66
Castellon;Muy_Alto;3,23;3,57;12,9;0;0;6,67;22,58;41,94;0;6,45;3,33;0;8,49
Castellon;Extremo;0;0;3,23;0;0;6,67;12,9;9,68;0;0;0;0;2,74
Ciudad Real;Bajo;41,94;35,71;12,9;66,67;9,68;0;0;3,23;30;51,61;96,67;96,77;36,99
Ciudad Real;Moderado;58,06;60,71;25,81;26,67;58,06;6,67;3,23;6,45;30;19,35;3,33;3,23;24,93
Ciudad Real;Alto;0;3,57;58,06;6,67;22,58;56,67;25,81;12,9;26,67;29,03;0;0;20,27
Ciudad Real;Muy_Alto;0;0;3,23;0;9,68;26,67;61,29;45,16;6,67;0;0;0;12,88
Ciudad Real;Extremo;0;0;0;0;0;10;9,68;32,26;6,67;0;0;0;4,93
Cordoba;Bajo;29,03;42,86;19,35;66,67;9,68;0;0;3,23;33,33;38,71;100;96,77;36,44
Cordoba;Moderado;70,97;57,14;41,94;33,33;29,03;3,33;3,23;6,45;26,67;25,81;0;3,23;24,93
Cordoba;Alto;0;0;38,71;0;48,39;46,67;25,81;29,03;23,33;35,48;0;0;20,82
Cordoba;Muy_Alto;0;0;0;0;12,9;50;70,97;58,06;16,67;0;0;0;17,53
Cordoba;Extremo;0;0;0;0;0;0;0;3,23;0;0;0;0;0,27
A Coruña;Bajo;48,39;42,86;32,26;56,67;25,81;56,67;6,45;22,58;23,33;80,65;100;64,52;46,58
A Coruña;Moderado;25,81;21,43;32,26;26,67;22,58;36,67;48,39;22,58;20;19,35;0;35,48;26,03
A Coruña;Alto;25,81;35,71;12,9;13,33;48,39;0;41,94;48,39;13,33;0;0;0;20
A Coruña;Muy_Alto;0;0;22,58;3,33;0;0;3,23;6,45;33,33;0;0;0;5,75
A Coruña;Extremo;0;0;0;0;3,23;6,67;0;0;10;0;0;0;1,64
Cuenca;Bajo;19,35;25;9,68;80;35,48;0;0;9,68;50;54,84;100;100;40,27
Cuenca;Moderado;77,42;53,57;19,35;16,67;61,29;16,67;19,35;12,9;33,33;29,03;0;0;28,22
Cuenca;Alto;3,23;21,43;67,74;3,33;3,23;60;35,48;19,35;13,33;16,13;0;0;20,27
Cuenca;Muy_Alto;0;0;3,23;0;0;10;25,81;35,48;3,33;0;0;0;6,58
Cuenca;Extremo;0;0;0;0;0;13,33;19,35;22,58;0;0;0;0;4,66
Girona;Bajo;29,03;10,71;0;66,67;45,16;16,67;6,45;0;26,67;32,26;80;61,29;31,23
Girona;Moderado;25,81;42,86;29,03;20;38,71;23,33;25,81;6,45;43,33;32,26;20;38,71;28,77
Girona;Alto;41,94;42,86;51,61;13,33;16,13;36,67;25,81;25,81;26,67;32,26;0;0;26,03
Girona;Muy_Alto;3,23;3,57;16,13;0;0;23,33;38,71;51,61;3,33;3,23;0;0;12,05
Girona;Extremo;0;0;3,23;0;0;0;3,23;16,13;0;0;0;0;1,92
Granada;Bajo;29,03;50;25,81;70;12,9;0;0;3,23;53,33;38,71;70;77,42;35,62
Granada;Moderado;70,97;50;61,29;26,67;67,74;3,33;6,45;6,45;40;12,9;30;22,58;33,15
Granada;Alto;0;0;12,9;3,33;19,35;76,67;19,35;16,13;6,67;48,39;0;0;16,99
Granada;Muy_Alto;0;0;0;0;0;20;67,74;61,29;0;0;0;0;12,6
Granada;Extremo;0;0;0;0;0;0;6,45;12,9;0;0;0;0;1,64
Guadalajara;Bajo;35,48;35,71;12,9;80;41,94;6,67;9,68;6,45;30;54,84;100;90,32;41,92
Guadalajara;Moderado;58,06;35,71;22,58;20;41,94;26,67;29,03;12,9;33,33;16,13;0;9,68;25,48
Guadalajara;Alto;6,45;28,57;64,52;0;16,13;40;32,26;32,26;30;29,03;0;0;23,29
Guadalajara;Muy_Alto;0;0;0;0;0;16,67;25,81;25,81;6,67;0;0;0;6,3
Guadalajara;Extremo;0;0;0;0;0;10;3,23;22,58;0;0;0;0;3,01
Gipuzkoa;Bajo;83,87;35,71;25,81;43,33;54,84;36,67;19,35;19,35;10;48,39;90;58,06;43,84
Gipuzkoa;Moderado;16,13;17,86;32,26;46,67;29,03;13,33;29,03;32,26;60;29,03;10;38,71;29,59
Gipuzkoa;Alto;0;25;29,03;10;16,13;26,67;32,26;29,03;23,33;16,13;0;3,23;17,53
Gipuzkoa;Muy_Alto;0;21,43;12,9;0;0;16,67;9,68;19,35;6,67;6,45;0;0;7,67
Gipuzkoa;Extremo;0;0;0;0;0;6,67;9,68;0;0;0;0;0;1,37
Huelva;Bajo;58,06;57,14;25,81;63,33;12,9;0;3,23;0;13,33;41,94;73,33;96,77;36,99
Huelva;Moderado;41,94;42,86;51,61;36,67;32,26;13,33;22,58;6,45;33,33;29,03;26,67;3,23;28,22
Huelva;Alto;0;0;22,58;0;32,26;53,33;38,71;9,68;26,67;19,35;0;0;16,99
Huelva;Muy_Alto;0;0;0;0;12,9;30;25,81;61,29;16,67;9,68;0;0;13,15
Huelva;Extremo;0;0;0;0;9,68;3,33;9,68;22,58;10;0;0;0;4,66
Huesca;Bajo;25,81;28,57;6,45;40;22,58;20;9,68;6,45;16,67;45,16;93,33;100;34,52
Huesca;Moderado;67,74;53,57;12,9;40;45,16;30;19,35;12,9;33,33;16,13;6,67;0;27,95
Huesca;Alto;6,45;17,86;70,97;20;32,26;23,33;29,03;38,71;30;29,03;0;0;24,93
Huesca;Muy_Alto;0;0;9,68;0;0;13,33;19,35;35,48;20;9,68;0;0;9,04
Huesca;Extremo;0;0;0;0;0;13,33;22,58;6,45;0;0;0;0;3,56
Jaen;Bajo;32,26;46,43;16,13;73,33;19,35;0;0;0;33,33;38,71;100;96,77;37,81
Jaen;Moderado;67,74;53,57;41,94;26,67;51,61;0;6,45;6,45;26,67;19,35;0;3,23;25,21
Jaen;Alto;0;0;41,94;0;22,58;23,33;6,45;3,23;36,67;25,81;0;0;13,42
Jaen;Muy_Alto;0;0;0;0;6,45;66,67;61,29;32,26;3,33;16,13;0;0;15,62
Jaen;Extremo;0;0;0;0;0;10;25,81;58,06;0;0;0;0;7,95
Leon;Bajo;16,13;42,86;12,9;53,33;12,9;23,33;25,81;6,45;16,67;58,06;100;83,87;37,53
Leon;Moderado;58,06;39,29;32,26;36,67;45,16;46,67;25,81;32,26;30;16,13;0;16,13;31,51
Leon;Alto;25,81;17,86;38,71;10;41,94;16,67;38,71;41,94;20;19,35;0;0;22,74
